strike,CallOpenInt,CallVolume,CallIV,CallGamma,PutOpenInt,PutVolume,PutIV,PutGamma,Price,Days,CallGEX,PutGEX,TotalGamma,Weights,WeightedGEX,CumulativeGEX,Flip
4890.0,492.0,22.0,0.367631,0.0001248373229791995,4354.0,3513.0,0.320711,0.0001248373229791995,4990.27,1,1529528.7250594292,-13535707.457131615,-12006178.732072186,1.0,-12006178.732072186,-12006178.732072186,4930.0
4895.0,1639.0,1473.0,0.350858,0.00019733011304293204,1833.0,1835.0,0.305782,0.00019733011304293204,4990.27,1,8054162.840848897,-9007492.670699224,-953329.8298503272,1.0,-953329.8298503272,-12959508.561922513,4930.0
4900.0,2907.0,395.0,0.334115,0.0003077148073880206,4867.0,6459.0,0.298821,0.0003077148073880206,4990.27,1,22276220.84262843,-37295619.82837034,-15019398.98574191,1.0,-15019398.98574191,-27978907.547664423,4930.0
4905.0,302.0,49.0,0.317404,0.000464757539848145,1935.0,3623.0,0.294622,0.000464757539848145,4990.27,1,3495275.99943119,-22395228.671852164,-18899952.672420975,1.0,-18899952.672420975,-46878860.2200854,4930.0
4910.0,318.0,494.0,0.300729,0.0006666566367258463,2170.0,5038.0,0.284614,0.0006666566367258463,4990.27,1,5279313.042663728,-36025500.95151035,-30746187.90884662,1.0,-30746187.90884662,-77625048.12893201,4930.0
4915.0,402.0,655.0,0.300365,0.0009232675705984351,1705.0,7719.0,0.275614,0.0009232675705984351,4990.27,1,9242760.980981534,-39201262.369585864,-29958501.388604328,1.0,-29958501.388604328,-107583549.51753634,4930.0
4920.0,328.0,864.0,0.282565,0.0012458166262174723,2769.0,10880.0,0.268826,0.0012458166262174723,4990.27,1,10175975.530831423,-85906330.01485428,-75730354.48402286,1.0,-75730354.48402286,-183313904.0015592,4930.0
4925.0,915.0,176.0,0.277461,0.0016732826220204932,2240.0,8612.0,0.254579,0.0016732826220204932,4990.27,1,38127513.4128059,-93339486.38763411,-55211972.97482821,1.0,-55211972.97482821,-238525876.9763874,4930.0
4930.0,457.0,506.0,0.258978,0.002190120530707593,2654.0,15202.0,0.247328,0.002190120530707593,4990.27,1,24924835.701497093,-144749483.48309252,-119824647.78159542,1.0,-119824647.78159542,-358350524.75798285,4930.0
4935.0,3126.0,4256.0,0.199144,0.0028425620683523653,1517.0,10785.0,0.237425,0.0028425620683523653,4990.27,1,221282473.78063595,-107385000.87179294,113897472.90884301,1.0,113897472.90884301,-244453051.84913984,4930.0
4940.0,2040.0,3284.0,0.208775,0.0036194420374019427,1483.0,19761.0,0.23055,0.0036194420374019427,4990.27,1,183873812.6512822,-133669051.05973116,50204761.591551036,1.0,50204761.591551036,-194248290.2575888,4930.0
4945.0,1417.0,586.0,0.205352,0.004548692246504713,1332.0,17126.0,0.222027,0.004548692246504713,4990.27,1,160510886.19665042,-150882498.52783227,9628387.668818146,1.0,9628387.668818146,-184619902.58877066,4930.0
4950.0,3398.0,3339.0,0.20651,0.0056632911590844565,2217.0,34017.0,0.215797,0.0056632911590844565,4990.27,1,479225977.93178725,-312667449.40399426,166558528.527793,1.0,166558528.527793,-18061374.060977668,4930.0
4955.0,1646.0,3047.0,0.201271,0.007007100435007674,1572.0,26728.0,0.209854,0.007007100435007674,4990.27,1,287221047.0523427,-274308314.6818243,12912732.370518386,1.0,12912732.370518386,-5148641.690459281,4930.0
4960.0,1929.0,3335.0,0.198547,0.008623350326222811,1864.0,36805.0,0.205146,0.008623350326222811,4990.27,1,414244113.0306086,-400285654.0637919,13958458.966816723,1.0,13958458.966816723,8809817.276357442,4930.0
4965.0,3811.0,4221.0,0.194885,0.010519607401323494,383.0,27441.0,0.200302,0.010519607401323494,4990.27,1,998358611.8424785,-100333599.66824174,898025012.1742368,1.0,898025012.1742368,906834829.4505942,4930.0
4970.0,2821.0,8255.0,0.193322,0.012630963379997237,944.0,36476.0,0.195036,0.012630963379997237,4990.27,1,887335077.2434055,-296931695.46890277,590403381.7745028,1.0,590403381.7745028,1497238211.225097,4930.0
4975.0,4226.0,17755.0,0.185462,0.014768299480221495,153.0,30055.0,0.190375,0.014768299480221495,4990.27,1,1554204174.5903976,-56269105.232449315,1497935069.3579483,1.0,1497935069.3579483,2995173280.583045,4930.0
4980.0,3479.0,22381.0,0.18537,0.016613190019122676,60.0,22049.0,0.187222,0.016613190019122676,4990.27,1,1439313997.620223,-24822891.594485022,1414491106.025738,1.0,1414491106.025738,4409664386.608783,4930.0
4985.0,3387.0,25178.0,0.182643,0.017761277779340615,85.0,15182.0,0.182981,0.017761277779340615,4990.27,1,1498088571.571012,-37595963.56171716,1460492608.0092947,1.0,1460492608.0092947,5870156994.618077,4930.0
4990.0,3939.0,44047.0,0.180309,0.017968770125255454,45.0,15024.0,0.181087,0.017968770125255454,4990.27,1,1762594543.6449246,-20136266.682919934,1742458276.9620047,1.0,1742458276.9620047,7612615271.580082,4930.0
4995.0,2915.0,38131.0,0.179187,0.017193334886046616,86.0,4790.0,0.179132,0.017193334886046616,4990.27,1,1248092487.7140641,-36821939.60322796,1211270548.1108363,1.0,1211270548.1108363,8823885819.690918,4930.0
5000.0,5187.0,55700.0,0.178456,0.015578455963026868,55.0,4027.0,0.177032,0.015578455963026868,4990.27,1,2012281556.701794,-21337089.959244,1990944466.74255,1.0,1990944466.74255,10814830286.433468,4930.0
5005.0,3357.0,38826.0,0.179188,0.01338254613970887,14.0,351.0,0.17688,0.01338254613970887,4990.27,1,1118763215.2955892,-4665679.182048928,1114097536.1135402,1.0,1114097536.1135402,11928927822.547009,4930.0
